iter	Passed	Remaining
402	12715	18837
403	12754	18815
404	12791	18791
405	12823	18761
406	12854	18729
407	12886	18698
408	12918	18667
409	12951	18637
410	12985	18609
411	13017	18578
412	13050	18549
413	13083	18518
414	13113	18484
415	13143	18451
416	13174	18418
417	13204	18384
418	13235	18353
419	13270	18325
420	13306	18299
421	13340	18272
422	13375	18244
423	13407	18213
424	13438	18181
425	13469	18148
426	13499	18115
427	13531	18084
428	13562	18052
429	13595	18021
430	13625	17988
431	13657	17957
432	13688	17924
433	13719	17892
434	13751	17860
435	13783	17829
436	13814	17797
437	13846	17766
438	13876	17733
439	13907	17700
440	13938	17667
441	13970	17637
442	14003	17606
443	14036	17577
444	14066	17543
445	14096	17510
446	14127	17477
447	14158	17445
448	14187	17411
449	14217	17377
450	14247	17343
451	14278	17311
452	14309	17278
453	14340	17246
454	14371	17214
455	14402	17182
456	14433	17150
457	14464	17117
458	14497	17087
459	14529	17056
460	14560	17024
461	14597	16999
462	14631	16970
463	14664	16939
464	14694	16906
465	14725	16874
466	14757	16843
467	14788	16811
468	14818	16777
469	14849	16744
470	14879	16712
471	14912	16681
472	14947	16653
473	14981	16625
474	15012	16592
475	15044	16561
476	15077	16531
477	15109	16500
478	15141	16469
479	15172	16436
480	15202	16403
481	15233	16370
482	15263	16337
483	15296	16307
484	15328	16276
485	15359	16244
486	15391	16213
487	15426	16185
488	15457	16153
489	15491	16123
490	15522	16091
491	15554	16060
492	15586	16029
493	15618	15997
494	15648	15964
495	15679	15932
496	15710	15900
497	15742	15868
498	15774	15837
499	15805	15805
500	15841	15778
501	15876	15749
502	15907	15717
503	15939	15686
504	15973	15656
505	16005	15625
506	16035	15592
507	16065	15559
508	16095	15525
509	16126	15493
510	16157	15461
511	16188	15429
512	16219	15397
513	16250	15364
514	16280	15332
515	16310	15299
516	16340	15266
517	16372	15234
518	16405	15204
519	16437	15172
520	16470	15142
521	16503	15112
522	16534	15080
523	16566	15049
524	16597	15017
525	16628	14984
526	16660	14953
527	16692	14921
528	16722	14889
529	16753	14856
530	16785	14825
531	16815	14792
532	16846	14760
533	16879	14729
534	16912	14699
535	16948	14671
536	16981	14641
537	17015	14611
538	17048	14581
539	17082	14552
540	17116	14522
541	17150	14492
542	17183	14461
543	17217	14432
544	17251	14402
545	17285	14373
546	17320	14343
547	17356	14316
548	17394	14289
549	17430	14261
550	17466	14233
551	17504	14206
552	17544	14181
553	17580	14153
554	17618	14126
555	17654	14097
556	17688	14067
557	17722	14038
558	17758	14009
559	17793	13980
560	17826	13950
561	17859	13918
562	17893	13889
563	17928	13859
564	17961	13829
565	17997	13799
566	18036	13774
567	18081	13752
568	18137	13738
569	18178	13713
570	18221	13689
571	18261	13664
572	18307	13642
573	18398	13654
574	18492	13668
575	18584	13680
576	18660	13679
577	18718	13666
578	18770	13648
579	18815	13624
580	18871	13609
581	18925	13592
582	18971	13569
583	19025	13552
584	19080	13536
585	19123	13510
586	19164	13483
587	19202	13455
588	19238	13424
589	19272	13392
590	19307	13361
591	19341	13329
592	19376	13299
593	19410	13267
594	19444	13235
595	19479	13204
596	19517	13175
597	19560	13149
598	19595	13118
599	19631	13087
600	19672	13060
601	19704	13027
602	19738	12995
603	19769	12961
604	19803	12929
605	19836	12897
606	19880	12871
607	19915	12840
608	19953	12810
609	19991	12781
610	20025	12749
611	20061	12718
612	20095	12686
613	20129	12654
614	20163	12622
615	20195	12589
616	20228	12556
617	20259	12522
618	20293	12490
619	20326	12458
620	20359	12425
621	20393	12393
622	20427	12361
623	20464	12331
624	20503	12301
625	20542	12272
626	20577	12241
627	20612	12209
628	20642	12175
629	20674	12142
630	20708	12110
631	20740	12076
632	20774	12044
633	20808	12012
634	20846	11982
635	20881	11950
636	20921	11922
637	20955	11890
638	20989	11857
639	21021	11824
640	21052	11790
641	21082	11756
642	21112	11721
643	21143	11688
644	21174	11654
645	21205	11620
646	21235	11586
647	21265	11551
648	21295	11517
649	21330	11485
650	21368	11455
651	21402	11423
652	21436	11391
653	21470	11358
654	21506	11328
655	21538	11294
656	21571	11262
657	21604	11228
658	21636	11195
659	21669	11163
660	21701	11129
661	21734	11097
662	21767	11064
663	21798	11030
664	21832	10998
665	21866	10965
666	21898	10932
667	21933	10900
668	21965	10868
669	21998	10835
670	22031	10802
671	22063	10768
672	22098	10737
673	22132	10704
674	22166	10672
675	22201	10641
676	22233	10607
677	22266	10574
678	22297	10541
679	22329	10508
680	22360	10474
681	22391	10440
682	22423	10407
683	22457	10375
684	22492	10343
685	22535	10315
686	22567	10282
687	22603	10250
688	22637	10218
689	22671	10185
690	22702	10152
691	22736	10119
692	22772	10088
693	22807	10056
694	22841	10023
695	22876	9991
696	22907	9958
697	22940	9925
698	22972	9892
699	23006	9859
700	23038	9826
701	23070	9793
702	23104	9761
703	23137	9728
704	23170	9695
705	23202	9662
706	23236	9630
707	23270	9597
708	23304	9565
709	23339	9532
710	23372	9500
711	23407	9468
712	23441	9435
713	23474	9403
714	23510	9371
715	23542	9338
716	23575	9305
717	23609	9272
718	23642	9239
719	23679	9208
720	23712	9175
721	23745	9142
722	23777	9109
723	23811	9077
724	23846	9045
725	23881	9013
726	23916	8980
727	23948	8947
728	23982	8915
729	24016	8882
730	24050	8850
731	24083	8817
732	24118	8785
733	24153	8753
734	24187	8720
735	24220	8687
736	24254	8655
737	24287	8622
738	24319	8588
739	24352	8556
740	24387	8524
741	24422	8491
742	24454	8458
743	24488	8426
744	24521	8393
745	24555	8360
746	24589	8328
747	24625	8296
748	24658	8263
749	24693	8231
750	24727	8198
751	24760	8165
752	24797	8134
753	24832	8101
754	24866	8069
755	24900	8036
756	24933	8003
757	24967	7971
758	24999	7938
759	25032	7905
760	25067	7872
761	25105	7841
762	25139	7808
763	25172	7775
764	25204	7742
765	25236	7709
766	25268	7676
767	25302	7643
768	25336	7610
769	25370	7578
770	25404	7545
771	25437	7512
772	25471	7479
773	25509	7448
774	25543	7415
775	25575	7382
776	25609	7349
777	25641	7316
778	25676	7284
779	25709	7251
780	25743	7218
781	25784	7188
782	25818	7155
783	25852	7122
784	25885	7089
785	25919	7056
786	25953	7024
787	25984	6990
788	26015	6957
789	26047	6924
790	26079	6890
791	26111	6857
792	26143	6824
793	26175	6791
794	26206	6757
795	26239	6724
796	26270	6691
797	26302	6658
798	26335	6624
799	26366	6591
800	26400	6558
801	26431	6525
802	26461	6491
803	26495	6459
804	26525	6425
805	26556	6392
806	26587	6358
807	26618	6325
808	26649	6291
809	26680	6258
810	26712	6225
811	26744	6192
812	26775	6158
813	26807	6125
814	26838	6092
815	26870	6059
816	26901	6025
817	26932	5992
818	26964	5959
819	26996	5926
820	27028	5893
821	27061	5859
822	27093	5826
823	27124	5793
824	27156	5760
825	27186	5726
826	27217	5693
827	27248	5660
828	27282	5627
829	27312	5594
830	27344	5561
831	27376	5527
832	27406	5494
833	27437	5461
834	27469	5428
835	27502	5395
836	27534	5362
837	27566	5329
838	27598	5295
839	27629	5262
840	27660	5229
841	27692	5196
842	27723	5163
843	27754	5130
844	27785	5096
845	27816	5063
846	27847	5030
847	27878	4997
848	27909	4963
849	27941	4930
850	27974	4897
851	28006	4865
852	28040	4832
853	28073	4799
854	28106	4766
855	28137	4733
856	28169	4700
857	28199	4667
858	28231	4634
859	28263	4600
860	28294	4567
861	28326	4534
862	28355	4501
863	28388	4468
864	28419	4435
865	28451	4402
866	28487	4370
867	28521	4337
868	28552	4304
869	28584	4271
870	28616	4238
871	28647	4205
872	28679	4172
873	28711	4139
874	28742	4106
875	28774	4073
876	28806	4040
877	28840	4007
878	28873	3974
879	28906	3941
880	28937	3908
881	28970	3875
882	29001	3842
883	29033	3809
884	29068	3777
885	29104	3744
886	29138	3712
887	29169	3679
888	29202	3646
889	29231	3612
890	29262	3579
891	29292	3546
892	29323	3513
893	29354	3480
894	29385	3447
895	29416	3414
896	29446	3381
897	29477	3348
898	29511	3315
899	29542	3282
900	29573	3249
901	29606	3216
902	29638	3183
903	29671	3151
904	29702	3117
905	29736	3085
906	29771	3052
907	29804	3019
908	29835	2986
909	29865	2953
910	29895	2920
911	29927	2887
912	29957	2854
913	29987	2821
914	30018	2788
915	30049	2755
916	30078	2722
917	30109	2689
918	30141	2656
919	30173	2623
920	30204	2590
921	30234	2557
922	30265	2524
923	30297	2491
924	30327	2459
925	30359	2426
926	30390	2393
927	30420	2360
928	30451	2327
929	30482	2294
930	30512	2261
931	30543	2228
932	30574	2195
933	30605	2162
934	30635	2129
935	30665	2096
936	30696	2063
937	30727	2031
938	30757	1998
939	30785	1965
940	30815	1932
941	30844	1899
942	30875	1866
943	30906	1833
944	30936	1800
945	30966	1767
946	30998	1734
947	31028	1701
948	31059	1669
949	31090	1636
